========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_NuSQUIDSLinear_NSI.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_NuSQUIDSLinear_NSI.yaml
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:         0 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.107408 | CosZ:      -999 | Prob:  0.885215
Index:         1 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.123321 | CosZ:      -999 | Prob:  0.964536
Index:         2 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.141591 | CosZ:      -999 | Prob:  0.948185
Index:         3 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.162568 | CosZ:      -999 | Prob:  0.899732
Index:         4 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.186653 | CosZ:      -999 | Prob:  0.914186
Index:         5 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.214306 | CosZ:      -999 | Prob:   0.96301
Index:         6 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.246057 | CosZ:      -999 | Prob:  0.991401
Index:         7 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.282511 | CosZ:      -999 | Prob:  0.984873
Index:         8 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.324366 | CosZ:      -999 | Prob:  0.958542
Index:         9 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.372422 | CosZ:      -999 | Prob:  0.931096
Index:        10 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.427598 | CosZ:      -999 | Prob:  0.912961
Index:        11 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.490948 | CosZ:      -999 | Prob:  0.906345
Index:        12 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.563684 | CosZ:      -999 | Prob:  0.909022
Index:        13 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.647195 | CosZ:      -999 | Prob:  0.917503
Index:        14 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.74308 | CosZ:      -999 | Prob:  0.928704
Index:        15 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.85317 | CosZ:      -999 | Prob:  0.940462
