========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_OscProb.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_OscProb.yaml
PMNS Type : Fast
Number of parameters : 7
Propagation Method : Atmospheric
PREM Model : ./Inputs/OscProb_prem_4+1layers.txt
Detector depth : 1.5km
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:         0 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.107408 | CosZ: -0.933333 | Prob:  0.160128
Index:         1 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.123321 | CosZ: -0.933333 | Prob:  0.615287
Index:         2 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.141591 | CosZ: -0.933333 | Prob:  0.931762
Index:         3 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.162568 | CosZ: -0.933333 | Prob:  0.630596
Index:         4 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.186653 | CosZ: -0.933333 | Prob:  0.312034
Index:         5 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.214306 | CosZ: -0.933333 | Prob: 0.0914402
Index:         6 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.246057 | CosZ: -0.933333 | Prob: 0.0761695
Index:         7 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.282511 | CosZ: -0.933333 | Prob:  0.146484
Index:         8 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.324366 | CosZ: -0.933333 | Prob:   0.23422
Index:         9 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.372422 | CosZ: -0.933333 | Prob:  0.329354
Index:        10 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.427598 | CosZ: -0.933333 | Prob:  0.482697
Index:        11 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.490948 | CosZ: -0.933333 | Prob:  0.550322
Index:        12 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.563684 | CosZ: -0.933333 | Prob:  0.651617
Index:        13 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.647195 | CosZ: -0.933333 | Prob:  0.663765
Index:        14 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.74308 | CosZ: -0.933333 | Prob:  0.823327
Index:        15 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.85317 | CosZ: -0.933333 | Prob:  0.866067
Index:        16 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.97957 | CosZ: -0.933333 | Prob:  0.897169
Index:        17 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.1247 | CosZ: -0.933333 | Prob:  0.866019
Index:        18 | NuType:  1 | OscChan:  1 ->   1 | Energy:   1.29132 | CosZ: -0.933333 | Prob:  0.939553
Index:        19 | NuType:  1 | OscChan:  1 ->   1 | Energy:   1.48264 | CosZ: -0.933333 | Prob:  0.941384
Index:        20 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.7023 | CosZ: -0.933333 | Prob:  0.967242
Index:        21 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.9545 | CosZ: -0.933333 | Prob:   0.85038
Index:        22 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.24406 | CosZ: -0.933333 | Prob:  0.981176
Index:        23 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.57653 | CosZ: -0.933333 | Prob:  0.349795
Index:        24 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.95825 | CosZ: -0.933333 | Prob:  0.499065
Index:        25 | NuType:  1 | OscChan:  1 ->   1 | Energy:   3.39653 | CosZ: -0.933333 | Prob:  0.428752
Index:        26 | NuType:  1 | OscChan:  1 ->   1 | Energy:   3.89974 | CosZ: -0.933333 | Prob:  0.357176
Index:        27 | NuType:  1 | OscChan:  1 ->   1 | Energy:    4.4775 | CosZ: -0.933333 | Prob:  0.839521
Index:        28 | NuType:  1 | OscChan:  1 ->   1 | Energy:   5.14085 | CosZ: -0.933333 | Prob:  0.949601
Index:        29 | NuType:  1 | OscChan:  1 ->   1 | Energy:   5.90249 | CosZ: -0.933333 | Prob:  0.556819
Index:        30 | NuType:  1 | OscChan:  1 ->   1 | Energy:   6.77697 | CosZ: -0.933333 | Prob:  0.376551
Index:        31 | NuType:  1 | OscChan:  1 ->   1 | Energy:     7.781 | CosZ: -0.933333 | Prob:   0.54456
Index:        32 | NuType:  1 | OscChan:  1 ->   1 | Energy:   8.93378 | CosZ: -0.933333 | Prob:  0.789899
Index:        33 | NuType:  1 | OscChan:  1 ->   1 | Energy:   10.2574 | CosZ: -0.933333 | Prob:  0.942083
Index:        34 | NuType:  1 | OscChan:  1 ->   1 | Energy:    11.777 | CosZ: -0.933333 | Prob:  0.995067
Index:        35 | NuType:  1 | OscChan:  1 ->   1 | Energy:   13.5218 | CosZ: -0.933333 | Prob:  0.997446
Index:        36 | NuType:  1 | OscChan:  1 ->   1 | Energy:   15.5251 | CosZ: -0.933333 | Prob:  0.986607
